"key" "fi" "sv"
"ei" "Ei" ""
"ikuisesti" "Pysyvästi" ""
"määräajan" "Määräajan" ""
"toistaiseksi" "Toistaiseksi" ""
"lupapäätöspäivä" "Lupapäätöspäivä" ""
"päätöksen_lainvoimaisuuspäivä" "Päätöksen lainvoimaisuuspäivä" ""
"rakennuksen_purkamispäivä" "Rakennuksen purkamispäivä" ""
"vakuuksien_voimassaoloaika" "Vakuuksien voimassaoloaika" ""
"salassapitoaika" "Salassapitoaika" ""
"salassapitoperuste" "Salassapitoperuste" ""
"turvallisuusluokka" "Turvallisuusluokka" ""
"suojaustaso" "Suojaustaso" ""
"julkisuusluokka" "Julkisuusluokka" ""
"henkilotiedot" "Henkilötiedot" ""
"ei-sisalla" "Ei sisällä henkilötietoja" ""
"sisaltaa" "Sisältää henkilötietoja" ""
"sisaltaa-arkaluonteisia" "Sisältää arkaluontoisia henkilötietoja" ""
"turvallisuusluokka1" "Turvallisuusluokka I" ""
"turvallisuusluokka2" "Turvallisuusluokka II" ""
"turvallisuusluokka3" "Turvallisuusluokka III" ""
"turvallisuusluokka4" "Turvallisuusluokka IV" ""
"ei-turvallisuusluokkaluokiteltu" "Ei turvallisuusluokiteltu" ""
"suojaustaso1" "I" ""
"suojaustaso2" "II" ""
"suojaustaso3" "III" ""
"suojaustaso4" "IV" ""
"julkinen" "Julkinen" ""
"osittain-salassapidettava" "Osittain salassapidettävä" ""
"salainen" "Salassa pidettävä" ""
"sailytysaika" "Säilytysaika" ""
"pituus" "Pituus" ""
"laskentaperuste" "Laskentaperuste" ""
"perustelu" "Perustelu" ""
"attachmentType.ennakkoluvat_ja_lausunnot._group_label" "Ennakkoluvat ja lausunnot" "Förhandstillstånd och utlåtanden"
"attachmentType.ennakkoluvat_ja_lausunnot.elyn_tai_kunnan_poikkeamapaatos" "ELY:n tai kunnan poikkeamapäätös" "ELY:s eller kommunens undantagsbeslut"
"attachmentType.ennakkoluvat_ja_lausunnot.elyn_tai_kunnan_poikkeamapaatos.info" "Jos hankkeessa on haettu ELY:n tai kunnan poikkeamispäätös muuten kuin Lupapisteen kautta" "Om man har ansökt om kommunens eller ELYs undantagsbeslut på annat sätt än via Lupapiste"
"attachmentType.ennakkoluvat_ja_lausunnot.naapurien_suostumukset" "Naapureiden suostumus" "Grannarnas samtycke"
"attachmentType.ennakkoluvat_ja_lausunnot.naapurien_suostumukset.info" "Jos hankkeessa tulee hankkia naapurien suostumus" "Om man måste inhämta grannarnas samtycke i projektet"
"attachmentType.ennakkoluvat_ja_lausunnot.selvitys_naapurien_kuulemisesta" "Naapurien kuuleminen" "Hörande av grannar"
"attachmentType.ennakkoluvat_ja_lausunnot.selvitys_naapurien_kuulemisesta.info" "Kuulemiskirjeet liitettävä, jos hakija on kuullut naapurit. Ei tarpeen = Viranomainen harkitsee tarpeellisuuden" "Hörandebrev måste tilläggas, om ansökaren har hört grannarna. Inte nödvändigt=Myndigheten avväger nödvändigheten"
"attachmentType.ennakkoluvat_ja_lausunnot.suunnittelutarveratkaisu" "Suunnittelutarveratkaisu" "Avgörande om planeringsbehov"
