"key" "fi" "sv"
"A0" "A0 (841 x 1189 mm)" "A0 (841 x 1189 mm)"
"A1" "A1 (594 x 841 mm)" "A1 (594 x 841 mm)"
"A2" "A2 (420 x 594 mm)" "A2 (420 x 594 mm)"
"A3" "A3 (297 x 420 mm)" "A3 (297 x 420 mm)"
"A4" "A4 (210 x 297 mm)" "A4 (210 x 297 mm)"
"A5" "A5 (148 x 210 mm)" "A5 (148 x 210 mm)"
"accept-company-invitation.fail" "Hakemuksen liittäminen epäonnistui. Valtuutus linkki on joko jo käytetty, tai vanhentunut." "Tilläggningen av kontot till företagskontot misslyckades. Fullmaktslänken är antingen felaktig eller föråldrad."
"accept-company-invitation.loading" "Odota, tietoja ladataan..." "Vänta, data laddas…"
"accept-company-invitation.login" "Siirry Lupapiste-palveluun" "Gå till Lupapiste-tjänsten"
"accept-company-invitation.subject" "Kutsu osallistua hakemuksen käsittelyyn" "Inbjudan att delta i behandligen av ansökan"
"accept-company-invitation.success" "Hakemus on liitetty onnistuneesti yrityksen tiliin." "Ansökan har lagts till i företagskontot."
"accept-company-invitation.title" "Hakemuksen liittäminen yrityksen tiliin" "Lägg till en ansökan till ett företagskonto"
"accepted" "Hyväksynyt valtuutuksen" "Har godkänt  fullmakten"
"add" "Lisää" "Lägg till"
"add.authority" "Lisää viranomainen" "Tillsätt myndighet"
"add.authorityAdmin" "Lisää pääkäyttäjä" "Lägg till huvudanvändare"
"addOperation" "Lisää toimenpide hakemukselle" "Lägg till åtgärd till ansökan"
"addParty.heading" "Lisää osapuoli" "Lägg till part"
"admin" "Pääkäyttäjä" "Huvudanvändare"
"admin.addAdminUser" "Lisää pääkäyttäjä" "Lägg till huvudanvändare"
"admin.addApplicantUser" "Lisää Hakija-käyttäjä" "Lägg till Sökande-användare"
"admin.add-dialog.activationLinks" "Lisätyn käyttäjän käyttäjänimi sekä hänen tunnuksensa aktivoivat linkit suomeksi ja ruotsiksi:" "Den tillagda personens användarnamn samt länkarna som aktiverar dennas användar-id på finska och på svenska:"
"admin.add-dialog.continue" "Jatka..." "Fortsätt…"
"admin.add-dialog.organization-code" "Organisaation koodi" "Organisationens kod"
"admin.add-dialog.searching" "Odota, käyttäjän tietoja haetaan..." "Vänta, användaruppgifter hämtas…"
"admin.add-dialog.title" "Lisää kunnan pääkäyttäjä" "Lägg till kommunens huvudanvändare"
"admin.add-dialog.userAdded" "Kunnan pääkäyttäjä lisätty onnistuneesti." "Tilläggningen av kommunens huvudanvändare lyckades."
"admin.adminpage-title" "Pääkäyttäjän osio" "Huvudanvändarens sektion"
"admin.admin-password" "Admin-salasana" "Admin-lösenord"
"admin.admin-users" "Kuntien pääkäyttäjät" "Kommunernas huvudanvändare"
"admin.applicant-users" "Hakija-käyttäjät" "Sökande-användare"
"admin.editAdminUser" "Muokkaa pääkäyttäjää" "Redigera huvudanvändare"
"admin.municipality" "Kunta" "Kommun"
"admin.organizations" "Organisaatiot" "Organisationer"
"admin.screenmessages.added" "Ilmoitus lisätty" "Anmälan tillsatt"
"admin.screenmessages.addScreenmessageButtonLabel" "Lisää ennakkoilmoitus" "Tillsätt förhandsanmälan"
